ds,actual,yhat,yhat_lower,yhat_upper
2021-01-01,14838017.0,14471638.011507882,13502226.45259418,15471848.101198215
2021-02-01,14512570.0,14512442.5416396,13555056.255566638,15495321.493009495
2021-03-01,14802619.0,16389325.661872419,15336224.91340607,17495970.897469837
2021-04-01,15706969.0,15717794.478014324,14677824.412279,16743751.181644559
2021-05-01,17072560.0,15994963.241869327,14968164.061882552,17105391.018063284
2021-06-01,15544285.0,14686194.667044647,13749613.40605813,15626594.446506716
2021-07-01,14857496.0,14585005.348412696,13664317.7396559,15559250.88258047
2021-08-01,15348261.0,15525880.893006433,14570544.972186921,16589172.380223224
2021-09-01,15598861.0,15766321.120487237,14781153.9153268,16836616.84006883
2021-10-01,18306730.0,18229928.642802488,17058790.739616033,19506871.222174186
2021-11-01,27406805.0,29741986.406036608,27804020.428607885,31596190.024309535
2021-12-01,22987296.0,21606323.405428786,20283466.306619465,23167198.83209903
2022-01-01,15563584.0,16115084.659931676,15189375.664739309,17163240.36566965
2022-02-01,15125010.0,15384596.81977484,14436332.653050404,16288428.191795899
2022-03-01,17880444.0,17255803.858571146,16157927.688565087,18413001.721152637
2022-04-01,16782173.0,16363092.013320936,15313457.188253898,17462812.836602483
2022-05-01,16629639.0,17486967.931880742,16362965.173014097,18735343.85205765
2022-06-01,15783671.0,15847029.995803753,14901391.889047297,16889526.136810157
2022-07-01,14911549.0,15181622.511737606,14186383.18761026,16141087.153666385
2022-08-01,16276601.0,16188991.94294854,15153209.302111968,17249974.533471722
2022-09-01,16250279.0,16470362.416980505,15479288.954124147,17627917.884159382
2022-10-01,31169842.0,30445609.989217836,28572936.49782771,32622770.47530676
2022-11-01,18547009.0,18541323.345032915,17346875.173423443,19795414.9492192
2022-12-01,23116861.0,23089437.23740954,21666601.26242433,24722639.651681274
2023-01-01,17146399.0,16997523.521974944,15963818.832406662,18140547.29749172
2023-02-01,16747021.0,16253537.089606402,15246507.018596334,17255238.85005463
2023-03-01,16837601.0,16404825.150639348,15341987.919076195,17474349.40972688
2023-04-01,16079995.0,17080105.356151413,16026396.923301911,18177827.812512577
2023-05-01,17512702.0,17006816.550486892,15903796.752065433,18096679.302008603
2023-06-01,16696975.0,16420136.3678555,15453856.352393804,17575834.940396316
2023-07-01,16719252.0,16066870.528997792,15081045.4640455,17149069.23941585
2023-08-01,16014237.0,16110025.578071693,15086768.86076909,17210931.05452276
2023-09-01,16087863.0,17096199.27596148,15987861.599832334,18198727.279079538
2023-10-01,21130730.0,22123192.376143947,20746171.784937665,23625818.607779212
2023-11-01,31405075.0,30241048.396971054,28354149.186153304,32229874.786459766
2023-12-01,23495038.0,23519441.50489009,21996195.18111577,25209989.89926567
2024-01-01,17003212.0,17238037.636326034,16188724.733723257,18375383.743856438
2024-02-01,16826391.0,16404616.00034149,15398955.924431691,17455590.001484487
2024-03-01,17532841.0,16415007.22757616,15383685.954145685,17588672.11452802
2024-04-01,16082484.0,17371543.143768918,16351633.235786537,18504442.94335083
2024-05-01,18874413.0,18384245.664023843,17233769.259480137,19541206.64407832
2024-06-01,16044377.0,16667625.600966774,15608913.737732971,17751321.446457416
2024-07-01,15104465.0,16417968.725189768,15387637.520611025,17542071.59491357
2024-08-01,17760104.0,16595271.205821557,15585611.495369263,17750500.80660797
2024-09-01,17558117.0,17746629.51643796,16673913.965146197,18906809.696645517
2024-10-01,28168326.0,27109588.849462964,25447737.71734172,28931870.725774568
2024-11-01,24434416.0,24534777.699791547,22972594.417129952,26083550.776070084
2024-12-01,25407141.0,24798578.318931483,23292063.29762577,26535884.172912274
2025-01-01,17908772.0,18292803.29244691,17158154.09756707,19551975.588875003
2025-02-01,17078506.0,17541475.055504486,16361956.759319061,18718930.122762747
2025-03-01,18386430.0,17655446.193369217,16499931.797593486,18827224.715391945
2025-04-01,20621079.0,20213846.354482096,18822342.43039204,21608440.046588402
2025-05-01,17910765.0,18513723.985322587,17344111.32582014,19724319.508584548
2025-06-01,17618570.0,17929420.025557093,16782116.06278487,19127567.83674042
2025-07-01,17985588.0,17545797.033031054,16489083.84708413,18656776.17562211
2025-08-01,17168037.0,17606380.43785067,16417171.783899955,18878622.714964505
2025-09-01,19303312.0,18693588.509975225,17578846.93175386,19997176.03707001
2025-10-01,33192476.0,31908917.443210732,29956180.493671782,34126077.497837596
2025-11-01,21325573.0,20688540.54466355,19287114.467028603,22114560.22102595
2025-12-01,23722364.0,25633115.53321846,23916644.190096475,27286445.019267276
2026-01-01,,19232316.60018131,17997726.55606514,20439983.872844905
2026-02-01,,17879685.78283165,16732170.81221249,19089491.26611258
2026-03-01,,18612750.180630703,17486381.16784125,19854125.990119793
2026-04-01,,18860306.314620234,17679562.039110105,20071478.891041964
2026-05-01,,18807905.860956233,17558731.721490603,20075153.19235642
2026-06-01,,18342319.44724507,17140446.913789045,19537254.257153653
2026-07-01,,17533228.9358977,16401093.528867433,18724293.417515576
2026-08-01,,18433767.3932972,17202164.851720974,19651294.70538829
2026-09-01,,18490473.51367278,17254075.693737723,19938190.39966476
2026-10-01,,32427148.112058364,30166971.11816462,34617352.05849644
2026-11-01,,32240490.30459694,29864621.401684724,34530634.53189269
2026-12-01,,25801257.650268532,23971358.29529541,27815793.41293044
2027-01-01,,18702660.2540661,17372349.222002134,20178130.175481867
2027-02-01,,17990046.059974473,16592318.322518863,19360119.627740733
2027-03-01,,18154327.011246927,16756187.478518257,19755254.079685517
2027-04-01,,18754399.577077243,17188644.162773587,20552524.60228274
2027-05-01,,18920433.22790415,17294762.42666798,20782879.372509744
2027-06-01,,18332022.195211012,16638869.446875544,20251863.3631967
2027-07-01,,17643335.872802764,15933428.147635529,19523972.055304434
2027-08-01,,17687305.26688805,15942835.87614763,19791562.402775433
2027-09-01,,18766403.34870955,16636755.269744586,21151563.21282157
2027-10-01,,20168648.174273655,17899977.422133375,22921207.051493566
2027-11-01,,20796601.5944486,18486221.556530114,23554590.776518065
2027-12-01,,20104739.47443665,17847551.956406567,22849555.252453897
