ds,actual,yhat,yhat_lower,yhat_upper
2021-01-01,3643059.0,3599690.60656239,3387179.558642097,3807945.6851869505
2021-02-01,3608819.0,3580024.162222172,3397504.902288897,3788840.459939216
2021-03-01,3675350.0,3998459.648016928,3774693.917691403,4224920.217657721
2021-04-01,3866196.0,3857313.7378819976,3635596.6845572954,4095856.2335798875
2021-05-01,3999325.0,3841504.7615083796,3617868.8356271926,4074438.293938643
2021-06-01,3805533.0,3570809.169263271,3378019.3315575533,3792199.0165408487
2021-07-01,3612892.0,3548597.7916337904,3343347.7419157545,3778559.485225638
2021-08-01,3685356.0,3752272.578451715,3548880.0222922415,3975725.798983084
2021-09-01,3746232.0,3815254.995235638,3600183.91509894,4045093.842250272
2021-10-01,4423727.0,4359628.36845071,4097973.1173922135,4609433.020915609
2021-11-01,6519488.0,7033242.529211238,6623984.816155224,7452056.2321141595
2021-12-01,5564498.0,5226336.56827196,4942177.097357558,5533201.602484448
2022-01-01,3825011.0,3912358.2694787676,3701229.262431426,4129180.483954486
2022-02-01,3689218.0,3728919.2937592836,3529583.940562014,3945483.25239277
2022-03-01,4270471.0,4157975.7700190768,3910577.24573772,4412567.193733859
2022-04-01,3936512.0,3926576.294541259,3694136.3073251224,4166821.150354795
2022-05-01,4048630.0,4187833.705921121,3944852.650002338,4441849.870490614
2022-06-01,3822042.0,3867631.35871914,3651464.1140399114,4102495.174559449
2022-07-01,3704093.0,3696844.2915600413,3480330.5891843876,3908429.661751418
2022-08-01,3905397.0,3913664.124567646,3682759.2107826252,4148773.117721817
2022-09-01,3895066.0,3984487.90494541,3762127.4154016026,4240134.312283592
2022-10-01,7227932.0,7065610.030912583,6696574.111790191,7501389.901408162
2022-11-01,4550515.0,4504592.934661192,4257544.605836537,4779067.996175233
2022-12-01,5613979.0,5630176.4817641415,5329331.883272578,5962996.869033629
2023-01-01,4130325.0,4117221.7507662554,3893107.7041011313,4365935.34003302
2023-02-01,4006975.0,3929149.4333453425,3704132.222042233,4171343.602580227
2023-03-01,4123648.0,3961626.327518315,3731711.060970346,4200263.931190726
