ds,actual,yhat,yhat_lower,yhat_upper
2021-01-01,18481076.0,18055946.31051888,16994996.13117648,19268822.809329115
2021-02-01,18121389.0,18085227.109071475,16888898.422057357,19328062.415929057
2021-03-01,18477969.0,20385878.68059174,19054992.891690146,21692132.915367756
2021-04-01,19573165.0,19577350.626316357,18329177.882966153,20890299.216640502
2021-05-01,21071885.0,19847646.05195425,18659872.922704645,21214314.207585707
2021-06-01,19349818.0,18266485.8139692,17155225.150152557,19549500.672622614
2021-07-01,18470388.0,18143628.94565685,16965180.739030436,19334826.41653179
2021-08-01,19033617.0,19287453.9383658,18079635.730859548,20603712.141784016
2021-09-01,19345093.0,19588910.32895184,18390897.513262376,20844314.9960476
2021-10-01,22730457.0,22595584.357852053,21243881.63653801,24013003.45056262
2021-11-01,33926293.0,36784565.62457469,34430545.155470505,39244255.76172241
2021-12-01,28551794.0,26837196.440110505,25299168.077176083,28610160.00545209
2022-01-01,19388595.0,20027644.064694703,18830321.13528418,21317779.58206134
2022-02-01,18814228.0,19110342.35385066,17952566.679206405,20385661.375054497
2022-03-01,22150915.0,21408223.298868727,20075970.72323647,22843735.082478076
2022-04-01,20718685.0,20282357.876425523,19083567.397878043,21768405.39358107
2022-05-01,20678269.0,21658814.40169381,20375375.36813764,23010931.9572405
2022-06-01,19605713.0,19699616.044633713,18497611.811225478,20951914.176755138
2022-07-01,18615642.0,18868456.613169316,17752292.441823944,20122207.449220095
2022-08-01,20181998.0,20095085.23808408,18846696.63915521,21383476.4477864
2022-09-01,20145345.0,20449493.588781595,19250477.74364465,21872547.144889466
2022-10-01,38397774.0,37505670.133350365,35280246.2437369,39969358.6542469
2022-11-01,23097524.0,23048785.422126733,21556875.797664803,24532521.98557558
2022-12-01,28730840.0,28725877.27720985,26934564.152586292,30638052.488130372
2023-01-01,21276724.0,21122998.29245117,19821528.1576895,22408135.2355443
2023-02-01,20753996.0,20194341.155777752,18963003.028391715,21611074.25777258
2023-03-01,20961249.0,20374924.071067706,19097091.932259105,21638355.71431815
2023-04-01,19934935.0,21138117.584595677,19842961.421802092,22450888.32477452
2023-05-01,21706395.0,21125639.187697183,19939647.0004798,22516438.16374953
2023-06-01,20763147.0,20425223.333127473,19163248.210563377,21822582.916931853
2023-07-01,20716570.0,19994914.405132145,18778969.38298198,21302843.59114266
2023-08-01,19965680.0,20035743.516476773,18918681.40153477,21358993.291684
2023-09-01,20051021.0,21251107.99390453,19911793.246425726,22494861.227905408
2023-10-01,26305535.0,27493118.700091407,25829412.11105959,29215779.027062986
2023-11-01,38806059.0,37416472.143335216,35102861.188780785,39881642.223811254
2023-12-01,29189204.0,29288060.313043375,27603948.894794494,31305322.594266955
2024-01-01,21176395.0,21443398.122236665,20184653.30322944,22799706.915193602
